,chembl_id,target_id,assay_type,assay_organism,raw_size,cleaned_size,cleaning_failed,cleaning_size_delta,num_pos,percentage_pos,confidence,tid,component_synonym,type_synonym,protein_class_desc,pref_name,EC_super_class,EC_super_class_name,protein_family,protein_super_family,EC_name,reliable_target_EC,reliable_target_protein_desc,reliable_target_EC_super,reliable_target_protein_super
0,CHEMBL1614128,104881,B,,367,367,False,0.0,181.0,49.31880108991825,4,,,,,,,,,,,,,,
1,CHEMBL1614304,104881,B,,367,367,False,0.0,133.0,36.239782016348784,4,,,,,,,,,,,,,,
2,CHEMBL1738583,104881,F,,91,91,False,0.0,45.0,49.45054945054945,4,,,,,,,,,,,,,,
3,CHEMBL1738683,104881,F,,82,82,False,0.0,41.0,50.0,4,,,,,,,,,,,,,,
4,CHEMBL1769604,104950,B,,79,79,False,0.0,39.0,49.36708860759494,4,,,,,,,,,,,,,,
5,CHEMBL1794359,117138,F,,25069,4249,False,20820.0,4248.0,99.97646505060014,4,,,,,,,,,,,,,,
6,CHEMBL1794400,107924,B,,118,118,False,0.0,59.0,50.0,4,,,,,,,,,,,,,,
7,CHEMBL1794484,104734,F,,229,229,False,0.0,114.0,49.78165938864629,4,,,,,,,,,,,,,,
8,CHEMBL1949022,104305,B,,36,36,False,0.0,18.0,50.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
9,CHEMBL1963907,117174,F,,228,228,False,0.0,82.0,35.96491228070175,4,117174.0,2.7.10.2,EC_NUMBER,enzyme  kinase  protein kinase  tk  abl,Tyrosine protein kinase Abl family,2,transferase,kinase_tk,kinase,Non-specific protein-tyrosine kinase,True,True,True,True
10,CHEMBL1963970,104734,F,,229,229,False,0.0,114.0,49.78165938864629,4,,,,,,,,,,,,,,
11,CHEMBL2184827,104305,B,,48,48,False,0.0,39.0,81.25,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
12,CHEMBL3370250,104688,B,Rattus norvegicus,47,47,False,0.0,23.0,48.93617021276596,4,,,,,,,,,,,,,,
13,CHEMBL3378418,104688,B,Rattus norvegicus,35,35,False,0.0,17.0,48.57142857142857,4,,,,,,,,,,,,,,
14,CHEMBL3887037,104822,B,Homo sapiens,52,52,False,0.0,26.0,50.0,4,104822.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  jnk,CMGC protein kinase JNK subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
15,CHEMBL3887622,104788,B,,54,54,False,0.0,54.0,100.0,4,104788.0,3.4.21.4,EC_NUMBER,enzyme  protease  serine  pas  s1a,Serine protease S1A subfamily,3,hydrolase,protease_serine,protease,Trypsin,True,True,True,True
16,CHEMBL3887671,104750,B,Homo sapiens,53,53,False,0.0,50.0,94.33962264150944,4,,,,,,,,,,,,,,
17,CHEMBL3887822,105104,B,Homo sapiens,98,98,False,0.0,98.0,100.0,4,105104.0,"('2.7.11.1', '2.7.12.2')",EC_NUMBER,"('enzyme  kinase  protein kinase  tkl  raf', 'enzyme  kinase  protein kinase  ste  ste7')","('TKL protein kinase RAF family', 'STE protein kinase STE7 family')",2,transferase,"('kinase_tkl', 'kinase_ste')",kinase,"('Non-specific serine/threonine protein kinase', 'Mitogen-activated protein kinase kinase')",False,False,True,True
18,CHEMBL3888128,105048,B,,106,106,False,0.0,53.0,50.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
19,CHEMBL3888179,104305,B,,197,197,False,0.0,197.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
20,CHEMBL3888180,104305,B,,282,282,False,0.0,282.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
21,CHEMBL3888536,105048,B,,315,315,False,0.0,315.0,100.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
22,CHEMBL3888635,104305,B,,233,233,False,0.0,233.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
23,CHEMBL3888750,104844,B,Homo sapiens,186,186,False,0.0,185.0,99.46236559139786,4,104844.0,"('2.7.11.1', '2.7.11.27', '2.7.11.31', '2.7.11.26')",EC_NUMBER,enzyme  kinase  protein kinase  camk  camkl  ampk,CAMK protein kinase AMPK subfamily,2,transferase,kinase_camk,kinase,"('Non-specific serine/threonine protein kinase', '[Acetyl-CoA carboxylase] kinase', '[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase', '[Tau protein] kinase')",False,True,True,True
24,CHEMBL3889021,105734,B,,43,43,False,0.0,43.0,100.0,4,,,,,,,,,,,,,,
25,CHEMBL3889055,105048,B,,34,34,False,0.0,17.0,50.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
26,CHEMBL4013726,117698,B,Mus musculus,43,43,False,0.0,21.0,48.83720930232558,4,,,,,,,,,,,,,,
