chembl_id,target_id,confidence,component_synonym,type_synonym,protein_class_desc,pref_name,EC_super_class,EC_super_class_name,protein_family,protein_super_family,EC_name,reliable_target_EC,reliable_target_protein_desc,reliable_target_EC_super,reliable_target_protein_super
CHEMBL1614128,104881,4,,,,,,,,,,,,,
CHEMBL1614304,104881,4,,,,,,,,,,,,,
CHEMBL1738583,104881,4,,,,,,,,,,,,,
CHEMBL1738683,104881,4,,,,,,,,,,,,,
CHEMBL1769604,104950,4,,,,,,,,,,,,,
CHEMBL1794400,107924,4,,,,,,,,,,,,,
CHEMBL1794484,104734,4,,,,,,,,,,,,,
CHEMBL1949022,104305,4,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL1963907,117174,4,2.7.10.2,EC_NUMBER,enzyme  kinase  protein kinase  tk  abl,Tyrosine protein kinase Abl family,2,transferase,kinase_tk,kinase,Non-specific protein-tyrosine kinase,True,True,True,True
CHEMBL1963970,104734,4,,,,,,,,,,,,,
CHEMBL3370250,104688,4,,,,,,,,,,,,,
CHEMBL3378418,104688,4,,,,,,,,,,,,,
CHEMBL3887037,104822,4,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  jnk,CMGC protein kinase JNK subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL3888128,105048,4,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
CHEMBL3889055,105048,4,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
CHEMBL4013726,117698,4,,,,,,,,,,,,,
CHEMBL615400,104744,4,,,,,,,,,,,,,
CHEMBL615782,104744,4,,,,,,,,,,,,,
CHEMBL618129,104714,4,,,,,,,,,,,,,
CHEMBL619177,104705,4,,,,,,,,,,,,,
CHEMBL642094,104304,4,,,,,,,,,,,,,
CHEMBL642334,104729,4,,,,,,,,,,,,,
CHEMBL642910,104693,4,,,,,,,,,,,,,
CHEMBL643182,104699,4,,,,,,,,,,,,,
CHEMBL643682,104680,4,,,,,,,,,,,,,
CHEMBL644173,104687,4,,,,,,,,,,,,,
CHEMBL645451,104699,4,,,,,,,,,,,,,
CHEMBL645694,104304,4,,,,,,,,,,,,,
CHEMBL646320,104699,4,,,,,,,,,,,,,
CHEMBL646321,104699,4,,,,,,,,,,,,,
CHEMBL646483,104699,4,,,,,,,,,,,,,
CHEMBL648957,104694,4,,,,,,,,,,,,,
CHEMBL649117,104699,4,,,,,,,,,,,,,
CHEMBL649122,104699,4,,,,,,,,,,,,,
CHEMBL649126,104699,4,,,,,,,,,,,,,
CHEMBL649340,104304,4,,,,,,,,,,,,,
CHEMBL651000,104301,4,,,,,,,,,,,,,
CHEMBL652255,104700,4,,,,,,,,,,,,,
CHEMBL652360,104301,4,,,,,,,,,,,,,
CHEMBL652559,104301,4,,,,,,,,,,,,,
CHEMBL652562,104301,4,,,,,,,,,,,,,
CHEMBL653127,104694,4,,,,,,,,,,,,,
CHEMBL653614,104697,4,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL659628,104769,4,,,,,,,,,,,,,
CHEMBL662784,104792,4,"('3.4.24.24', '3.4.24.35', '3.4.24.34', '3.4.24.-', '3.4.24.7')",EC_NUMBER,enzyme  protease  metallo  mam  m10a,Metallo protease M10A subfamily,3,hydrolase,protease_metallo,protease,"('Gelatinase A', 'Gelatinase B', 'Neutrophil collagenase', 'unknown EC number', 'Interstitial collagenase')",False,True,True,True
CHEMBL663471,104866,4,,,,,,,,,,,,,
CHEMBL664572,104761,4,,,,,,,,,,,,,
CHEMBL668904,104727,4,5.6.2.2,EC_NUMBER,enzyme  isomerase,Isomerase,5,isomerase,isomerase,isomerase,DNA topoisomerase (ATP-hydrolyzing),True,True,True,True
CHEMBL677877,104942,4,2.7.10.1,EC_NUMBER,enzyme  kinase  protein kinase  tk  egfr,Tyrosine protein kinase EGFR family,2,transferase,kinase_tk,kinase,Receptor protein-tyrosine kinase,True,True,True,True
CHEMBL680656,104301,4,,,,,,,,,,,,,
CHEMBL692204,104737,4,,,,,,,,,,,,,
CHEMBL697889,104687,4,,,,,,,,,,,,,
CHEMBL699623,104701,4,,,,,,,,,,,,,
CHEMBL702547,104687,4,,,,,,,,,,,,,
CHEMBL704371,104745,4,,,,,,,,,,,,,
CHEMBL705080,104745,4,,,,,,,,,,,,,
CHEMBL716220,104810,4,,,,,,,,,,,,,
CHEMBL716221,104810,4,,,,,,,,,,,,,
CHEMBL732095,104697,4,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL732887,104697,4,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL744072,104302,4,,,,,,,,,,,,,
CHEMBL744131,104303,4,,,,,,,,,,,,,
CHEMBL744136,104303,4,,,,,,,,,,,,,
CHEMBL744138,104303,4,,,,,,,,,,,,,
CHEMBL746728,104302,4,,,,,,,,,,,,,
CHEMBL747399,104303,4,,,,,,,,,,,,,
CHEMBL747854,104692,4,,,,,,,,,,,,,
CHEMBL748106,104302,4,,,,,,,,,,,,,
CHEMBL748107,104302,4,,,,,,,,,,,,,
CHEMBL748569,104302,4,,,,,,,,,,,,,
CHEMBL749227,104691,4,,,,,,,,,,,,,
CHEMBL749643,104302,4,,,,,,,,,,,,,
CHEMBL751502,104770,4,7.2.2.13,EC_NUMBER,"('transporter  ntpase  p-type atpase  na k atpase', 'enzyme  hydrolase')","('Sodium potassium ATPase', 'Hydrolase')",7,translocase,"('transporter_ntpase', 'hydrolase')","('transporter', 'hydrolase')",Na(+)/K(+)-exchanging ATPase,True,False,True,False
CHEMBL751506,104770,4,7.2.2.13,EC_NUMBER,"('transporter  ntpase  p-type atpase  na k atpase', 'enzyme  hydrolase')","('Sodium potassium ATPase', 'Hydrolase')",7,translocase,"('transporter_ntpase', 'hydrolase')","('transporter', 'hydrolase')",Na(+)/K(+)-exchanging ATPase,True,False,True,False
CHEMBL751569,104302,4,,,,,,,,,,,,,
CHEMBL752171,104303,4,,,,,,,,,,,,,
CHEMBL752467,104706,4,,,,,,,,,,,,,
CHEMBL752675,104687,4,,,,,,,,,,,,,
CHEMBL757136,104679,4,3.1.4.53,EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 4C')",3,hydrolase,phosphodiesterase_pde_4,phosphodiesterase,"3',5'-cyclic-AMP phosphodiesterase",True,False,True,True
CHEMBL758018,105015,4,"('3.1.4.-', '3.1.4.35', '3.1.4.-', '3.1.4.17')",EC_NUMBER,"('enzyme  phosphodiesterase  pde_1  pde_1c', 'enzyme  phosphodiesterase  pde_1  pde_1c', 'enzyme  phosphodiesterase  pde_1  pde_1a', 'enzyme  phosphodiesterase  pde_1  pde_1b')","('Phosphodiesterase 1C', 'Phosphodiesterase 1C', 'Phosphodiesterase 1A', 'Phosphodiesterase 1B')",3,hydrolase,phosphodiesterase_pde_1,phosphodiesterase,"('unknown EC number', ""3',5'-cyclic-GMP phosphodiesterase"", 'unknown EC number', ""3',5'-cyclic-nucleotide phosphodiesterase"")",False,False,True,True
CHEMBL759163,104707,4,3.1.4.17,EC_NUMBER,"('enzyme  phosphodiesterase  pde_3  pde_3a', 'enzyme  phosphodiesterase  pde_3  pde_3b')","('Phosphodiesterase 3A', 'Phosphodiesterase 3B')",3,hydrolase,phosphodiesterase_pde_3,phosphodiesterase,"3',5'-cyclic-nucleotide phosphodiesterase",True,False,True,True
CHEMBL760771,104742,4,1.14.99.1,EC_NUMBER,enzyme  reductase,Oxidoreductase,1,oxidoreductase,reductase,reductase,Prostaglandin-endoperoxide synthase,True,True,True,True
CHEMBL761449,104818,4,"('2.7.11.2', '2.7.11.-')",EC_NUMBER,enzyme  kinase  protein kinase  atypical  pdhk,Atypical protein kinase PDHK subfamily,2,transferase,kinase_atypical,kinase,"('[Pyruvate dehydrogenase (acetyl-transferring)] kinase', 'unknown EC number')",False,True,True,True
CHEMBL761483,104679,4,3.1.4.53,EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 4C')",3,hydrolase,phosphodiesterase_pde_4,phosphodiesterase,"3',5'-cyclic-AMP phosphodiesterase",True,False,True,True
CHEMBL762412,104725,4,1.14.99.1,EC_NUMBER,enzyme  reductase,Oxidoreductase,1,oxidoreductase,reductase,reductase,Prostaglandin-endoperoxide synthase,True,True,True,True
CHEMBL762594,104725,4,1.14.99.1,EC_NUMBER,enzyme  reductase,Oxidoreductase,1,oxidoreductase,reductase,reductase,Prostaglandin-endoperoxide synthase,True,True,True,True
CHEMBL763611,104706,4,,,,,,,,,,,,,
CHEMBL763612,104706,4,,,,,,,,,,,,,
CHEMBL764284,104302,4,,,,,,,,,,,,,
CHEMBL765421,104877,4,3.1.4.17,EC_NUMBER,"('enzyme  phosphodiesterase  pde_1  pde_1b', 'enzyme  phosphodiesterase  pde_1  pde_1a')","('Phosphodiesterase 1B', 'Phosphodiesterase 1A')",3,hydrolase,phosphodiesterase_pde_1,phosphodiesterase,"3',5'-cyclic-nucleotide phosphodiesterase",True,False,True,True
CHEMBL767077,104679,4,3.1.4.53,EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 4C')",3,hydrolase,phosphodiesterase_pde_4,phosphodiesterase,"3',5'-cyclic-AMP phosphodiesterase",True,False,True,True
CHEMBL767434,104683,4,"('2.7.11.13', '2.7.11.13', '2.7.11.13', '2.7.10.2', '2.7.11.13', '2.7.11.13')",EC_NUMBER,"('enzyme  kinase  protein kinase  camk  pkd', 'enzyme  kinase  protein kinase  agc  pkc  iota', 'enzyme  kinase  protein kinase  agc  pkc  alpha', 'enzyme  kinase  protein kinase  agc  pkc  delta', 'enzyme  kinase  protein kinase  agc  pkc  delta', 'enzyme  kinase  protein kinase  agc  pkc  eta')","('CAMK protein kinase PKD family', 'AGC protein kinase PKC iota subfamily', 'AGC protein kinase PKC alpha subfamily', 'AGC protein kinase PKC delta subfamily', 'AGC protein kinase PKC delta subfamily', 'AGC protein kinase PKC eta subfamily')",2,transferase,"('kinase_camk', 'kinase_agc', 'kinase_agc', 'kinase_agc', 'kinase_agc', 'kinase_agc')",kinase,"('Protein kinase C', 'Protein kinase C', 'Protein kinase C', 'Non-specific protein-tyrosine kinase', 'Protein kinase C', 'Protein kinase C')",False,False,True,True
CHEMBL767496,104829,4,1.14.99.1,EC_NUMBER,enzyme  reductase,Oxidoreductase,1,oxidoreductase,reductase,reductase,Prostaglandin-endoperoxide synthase,True,True,True,True
CHEMBL768001,104720,4,2.7.11.11,EC_NUMBER,enzyme  kinase  protein kinase  agc  pka,AGC protein kinase PKA family,2,transferase,kinase_agc,kinase,cAMP-dependent protein kinase,True,True,True,True
CHEMBL769458,104820,4,2.7.11.2,EC_NUMBER,enzyme  kinase  protein kinase  atypical  pdhk,Atypical protein kinase PDHK subfamily,2,transferase,kinase_atypical,kinase,[Pyruvate dehydrogenase (acetyl-transferring)] kinase,True,True,True,True
CHEMBL772600,104720,4,2.7.11.11,EC_NUMBER,enzyme  kinase  protein kinase  agc  pka,AGC protein kinase PKA family,2,transferase,kinase_agc,kinase,cAMP-dependent protein kinase,True,True,True,True
CHEMBL786468,104694,4,,,,,,,,,,,,,
CHEMBL786469,104694,4,,,,,,,,,,,,,
CHEMBL788039,104694,4,,,,,,,,,,,,,
CHEMBL788041,104694,4,,,,,,,,,,,,,
CHEMBL792320,104302,4,,,,,,,,,,,,,
CHEMBL806152,104837,4,,,,,,,,,,,,,
CHEMBL806153,104837,4,,,,,,,,,,,,,
CHEMBL806154,104837,4,,,,,,,,,,,,,
CHEMBL806885,104791,4,1.17.4.1,EC_NUMBER,"('enzyme  reductase', 'enzyme')","('Oxidoreductase', 'Enzyme')",1,oxidoreductase,"('reductase', 'undefined enzyme/protein')","('reductase', 'undefined enzyme/protein')",Ribonucleoside-diphosphate reductase,True,False,True,False
CHEMBL809380,104727,4,5.6.2.2,EC_NUMBER,enzyme  isomerase,Isomerase,5,isomerase,isomerase,isomerase,DNA topoisomerase (ATP-hydrolyzing),True,True,True,True
CHEMBL812283,104727,4,5.6.2.2,EC_NUMBER,enzyme  isomerase,Isomerase,5,isomerase,isomerase,isomerase,DNA topoisomerase (ATP-hydrolyzing),True,True,True,True
CHEMBL812860,104797,4,,,,,,,,,,,,,
CHEMBL815469,104788,4,3.4.21.4,EC_NUMBER,enzyme  protease  serine  pas  s1a,Serine protease S1A subfamily,3,hydrolase,protease_serine,protease,Trypsin,True,True,True,True
CHEMBL819255,104766,4,,,,,,,,,,,,,
CHEMBL821500,104738,4,"('3.1.4.53', '3.1.4.17', '3.1.4.53', '3.1.4.53', '3.1.4.17', '3.1.4.53')",EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_3  pde_3a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_3  pde_3b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 3A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 3B', 'Phosphodiesterase 4C')",3,hydrolase,"('phosphodiesterase_pde_4', 'phosphodiesterase_pde_3', 'phosphodiesterase_pde_4', 'phosphodiesterase_pde_4', 'phosphodiesterase_pde_3', 'phosphodiesterase_pde_4')",phosphodiesterase,"(""3',5'-cyclic-AMP phosphodiesterase"", ""3',5'-cyclic-nucleotide phosphodiesterase"", ""3',5'-cyclic-AMP phosphodiesterase"", ""3',5'-cyclic-AMP phosphodiesterase"", ""3',5'-cyclic-nucleotide phosphodiesterase"", ""3',5'-cyclic-AMP phosphodiesterase"")",False,False,True,True
CHEMBL825022,104832,4,2.7.2.3,EC_NUMBER,enzyme  transferase,Transferase,2,transferase,transferase,transferase,Phosphoglycerate kinase,True,True,True,True
CHEMBL828600,104735,4,"('3.1.4.17', '3.1.4.17', '3.1.4.-', '3.1.4.35')",EC_NUMBER,"('enzyme  phosphodiesterase  pde_1  pde_1a', 'enzyme  phosphodiesterase  pde_1  pde_1b', 'enzyme  phosphodiesterase  pde_1  pde_1c', 'enzyme  phosphodiesterase  pde_1  pde_1c')","('Phosphodiesterase 1A', 'Phosphodiesterase 1B', 'Phosphodiesterase 1C', 'Phosphodiesterase 1C')",3,hydrolase,phosphodiesterase_pde_1,phosphodiesterase,"(""3',5'-cyclic-nucleotide phosphodiesterase"", ""3',5'-cyclic-nucleotide phosphodiesterase"", 'unknown EC number', ""3',5'-cyclic-GMP phosphodiesterase"")",False,False,True,True
CHEMBL854584,104730,4,,,,,,,,,,,,,
CHEMBL856036,104737,4,,,,,,,,,,,,,
CHEMBL857028,104304,4,,,,,,,,,,,,,
CHEMBL876577,104869,4,"('3.2.1.-', '3.4.15.1', '3.4.17.-', '3.4.17.23')",EC_NUMBER,enzyme  protease  metallo  mae  m2,Metallo protease M2 family,3,hydrolase,protease_metallo,protease,"('unknown EC number', 'Peptidyl-dipeptidase A', 'unknown EC number', 'Angiotensin-converting enzyme 2')",False,True,True,True
CHEMBL876700,104726,4,,,,,,,,,,,,,
CHEMBL878959,104694,4,,,,,,,,,,,,,
CHEMBL879641,104745,4,,,,,,,,,,,,,
CHEMBL883335,104689,4,,,,,,,,,,,,,
CHEMBL895598,104912,4,2.7.12.2,EC_NUMBER,enzyme  kinase  protein kinase  ste  ste7,STE protein kinase STE7 family,2,transferase,kinase_ste,kinase,Mitogen-activated protein kinase kinase,True,True,True,True
CHEMBL920549,104772,4,"('2.7.11.1', '2.7.11.26')",EC_NUMBER,enzyme  kinase  protein kinase  cmgc  gsk,CMGC protein kinase GSK family,2,transferase,kinase_cmgc,kinase,"('Non-specific serine/threonine protein kinase', '[Tau protein] kinase')",False,True,True,True
CHEMBL928295,104772,4,"('2.7.11.1', '2.7.11.26')",EC_NUMBER,enzyme  kinase  protein kinase  cmgc  gsk,CMGC protein kinase GSK family,2,transferase,kinase_cmgc,kinase,"('Non-specific serine/threonine protein kinase', '[Tau protein] kinase')",False,True,True,True
CHEMBL985339,104302,4,,,,,,,,,,,,,
CHEMBL1007190,104750,5,,,,,,,,,,,,,
CHEMBL1008211,104300,5,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  erk,CMGC protein kinase ERK subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL1026068,104750,5,,,,,,,,,,,,,
CHEMBL1040171,104681,5,"('3.5.1.98', '3.5.1.-', '3.5.1.98', '3.5.1.98', '3.5.1.98', '3.5.1.48', '3.5.1.62')",EC_NUMBER,"('epigenetic regulator  eraser  hdac  hdac class i', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iia', 'epigenetic regulator  eraser  hdac  hdac class iv', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib')","('HDAC class I', 'HDAC class IIb', 'HDAC class IIb', 'HDAC class IIa', 'HDAC class IV', 'HDAC class IIb', 'HDAC class IIb')",3,hydrolase,epigenetic_regulator,epigenetic,"('Histone deacetylase', 'unknown EC number', 'Histone deacetylase', 'Histone deacetylase', 'Histone deacetylase', 'Acetylspermidine deacetylase', 'Acetylputrescine deacetylase')",False,False,True,True
CHEMBL1054122,104302,5,,,,,,,,,,,,,
CHEMBL1054123,104302,5,,,,,,,,,,,,,
CHEMBL1061205,104775,5,2.7.11.1,EC_NUMBER,enzyme  kinase  protein kinase  other  ck2,Other protein kinase CK2 family,2,transferase,kinase_other,kinase,Non-specific serine/threonine protein kinase,True,True,True,True
CHEMBL1072732,117031,5,3.6.5.2,EC_NUMBER,unclassified,Unclassified protein,3,hydrolase,unclassified,unclassified,Small monomeric GTPase,True,True,True,True
CHEMBL1110301,117051,5,6.4.1.2,EC_NUMBER,"('enzyme', 'enzyme  ligase')","('Enzyme', 'Ligase')",6,ligase,"('undefined enzyme/protein', 'ligase')","('undefined enzyme/protein', 'ligase')",Acetyl-CoA carboxylase,True,False,True,False
CHEMBL1176861,104922,5,2.7.10.2,EC_NUMBER,enzyme  kinase  protein kinase  tk  abl,Tyrosine protein kinase Abl family,2,transferase,kinase_tk,kinase,Non-specific protein-tyrosine kinase,True,True,True,True
CHEMBL1211419,105107,5,,,,,,,,,,,,,
CHEMBL1613870,104730,5,,,,,,,,,,,,,
CHEMBL1613874,104750,5,,,,,,,,,,,,,
