chembl_id,target_id,assay_type,assay_organism,raw_size,cleaned_size,cleaning_failed,cleaning_size_delta,num_pos,percentage_pos,confidence,tid,component_synonym,type_synonym,protein_class_desc,pref_name,EC_super_class,EC_super_class_name,protein_family,protein_super_family,EC_name,reliable_target_EC,reliable_target_protein_desc,reliable_target_EC_super,reliable_target_protein_super
CHEMBL1614128,104881,B,,367,367,False,0.0,181.0,49.31880108991825,4,,,,,,,,,,,,,,
CHEMBL1614304,104881,B,,367,367,False,0.0,133.0,36.239782016348784,4,,,,,,,,,,,,,,
CHEMBL1738583,104881,F,,91,91,False,0.0,45.0,49.45054945054945,4,,,,,,,,,,,,,,
CHEMBL1738683,104881,F,,82,82,False,0.0,41.0,50.0,4,,,,,,,,,,,,,,
CHEMBL1769604,104950,B,,79,79,False,0.0,39.0,49.36708860759494,4,,,,,,,,,,,,,,
CHEMBL1794359,117138,F,,25069,4249,False,20820.0,4248.0,99.97646505060014,4,,,,,,,,,,,,,,
CHEMBL1794400,107924,B,,118,118,False,0.0,59.0,50.0,4,,,,,,,,,,,,,,
CHEMBL1794484,104734,F,,229,229,False,0.0,114.0,49.78165938864629,4,,,,,,,,,,,,,,
CHEMBL1949022,104305,B,,36,36,False,0.0,18.0,50.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL1963907,117174,F,,228,228,False,0.0,82.0,35.96491228070175,4,117174.0,2.7.10.2,EC_NUMBER,enzyme  kinase  protein kinase  tk  abl,Tyrosine protein kinase Abl family,2,transferase,kinase_tk,kinase,Non-specific protein-tyrosine kinase,True,True,True,True
CHEMBL1963970,104734,F,,229,229,False,0.0,114.0,49.78165938864629,4,,,,,,,,,,,,,,
CHEMBL2184827,104305,B,,48,48,False,0.0,39.0,81.25,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL3370250,104688,B,Rattus norvegicus,47,47,False,0.0,23.0,48.93617021276596,4,,,,,,,,,,,,,,
CHEMBL3378418,104688,B,Rattus norvegicus,35,35,False,0.0,17.0,48.57142857142857,4,,,,,,,,,,,,,,
CHEMBL3887037,104822,B,Homo sapiens,52,52,False,0.0,26.0,50.0,4,104822.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  jnk,CMGC protein kinase JNK subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
CHEMBL3887622,104788,B,,54,54,False,0.0,54.0,100.0,4,104788.0,3.4.21.4,EC_NUMBER,enzyme  protease  serine  pas  s1a,Serine protease S1A subfamily,3,hydrolase,protease_serine,protease,Trypsin,True,True,True,True
CHEMBL3887671,104750,B,Homo sapiens,53,53,False,0.0,50.0,94.33962264150944,4,,,,,,,,,,,,,,
CHEMBL3887822,105104,B,Homo sapiens,98,98,False,0.0,98.0,100.0,4,105104.0,"('2.7.11.1', '2.7.12.2')",EC_NUMBER,"('enzyme  kinase  protein kinase  tkl  raf', 'enzyme  kinase  protein kinase  ste  ste7')","('TKL protein kinase RAF family', 'STE protein kinase STE7 family')",2,transferase,"('kinase_tkl', 'kinase_ste')",kinase,"('Non-specific serine/threonine protein kinase', 'Mitogen-activated protein kinase kinase')",False,False,True,True
CHEMBL3888128,105048,B,,106,106,False,0.0,53.0,50.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
CHEMBL3888179,104305,B,,197,197,False,0.0,197.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL3888180,104305,B,,282,282,False,0.0,282.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL3888536,105048,B,,315,315,False,0.0,315.0,100.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
CHEMBL3888635,104305,B,,233,233,False,0.0,233.0,100.0,4,104305.0,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL3888750,104844,B,Homo sapiens,186,186,False,0.0,185.0,99.46236559139786,4,104844.0,"('2.7.11.1', '2.7.11.27', '2.7.11.31', '2.7.11.26')",EC_NUMBER,enzyme  kinase  protein kinase  camk  camkl  ampk,CAMK protein kinase AMPK subfamily,2,transferase,kinase_camk,kinase,"('Non-specific serine/threonine protein kinase', '[Acetyl-CoA carboxylase] kinase', '[Hydroxymethylglutaryl-CoA reductase (NADPH)] kinase', '[Tau protein] kinase')",False,True,True,True
CHEMBL3889021,105734,B,,43,43,False,0.0,43.0,100.0,4,,,,,,,,,,,,,,
CHEMBL3889055,105048,B,,34,34,False,0.0,17.0,50.0,4,105048.0,4.6.1.2,EC_NUMBER,enzyme  lyase  guanylate cyclase  soluble guanylate cyclase,Soluble guanylate cyclase,4,lyase,lyase_guanylate,lyase,Guanylate cyclase,True,True,True,True
CHEMBL4013726,117698,B,Mus musculus,43,43,False,0.0,21.0,48.83720930232558,4,,,,,,,,,,,,,,
CHEMBL615400,104744,B,,37,37,False,0.0,18.0,48.64864864864865,4,,,,,,,,,,,,,,
CHEMBL615782,104744,B,,60,60,False,0.0,24.0,40.0,4,,,,,,,,,,,,,,
CHEMBL616480,104686,B,,46,46,False,0.0,45.0,97.82608695652172,4,,,,,,,,,,,,,,
CHEMBL616980,104686,B,,45,45,False,0.0,45.0,100.0,4,,,,,,,,,,,,,,
CHEMBL616981,104686,B,,45,45,False,0.0,43.0,95.55555555555556,4,,,,,,,,,,,,,,
CHEMBL617013,104686,B,,51,51,False,0.0,46.0,90.19607843137256,4,,,,,,,,,,,,,,
CHEMBL617016,104686,B,,40,40,False,0.0,40.0,100.0,4,,,,,,,,,,,,,,
CHEMBL617147,104784,B,Cavia porcellus,33,33,False,0.0,32.0,96.96969696969695,4,,,,,,,,,,,,,,
CHEMBL617210,104826,B,,104,104,False,0.0,98.0,94.23076923076924,4,,,,,,,,,,,,,,
CHEMBL617219,104826,B,,36,36,False,0.0,35.0,97.22222222222224,4,,,,,,,,,,,,,,
CHEMBL617242,104686,B,,51,51,False,0.0,51.0,100.0,4,,,,,,,,,,,,,,
CHEMBL617246,104686,B,,29,29,False,0.0,29.0,100.0,4,,,,,,,,,,,,,,
CHEMBL617247,104686,B,,61,61,False,0.0,59.0,96.72131147540983,4,,,,,,,,,,,,,,
CHEMBL617444,104686,B,,42,42,False,0.0,37.0,88.09523809523809,4,,,,,,,,,,,,,,
CHEMBL617547,104686,B,,33,33,False,0.0,33.0,100.0,4,,,,,,,,,,,,,,
CHEMBL617820,104714,B,Cavia porcellus,34,34,False,0.0,34.0,100.0,4,,,,,,,,,,,,,,
CHEMBL618129,104714,B,,60,60,False,0.0,30.0,50.0,4,,,,,,,,,,,,,,
CHEMBL618141,104714,B,,35,35,False,0.0,30.0,85.71428571428571,4,,,,,,,,,,,,,,
CHEMBL619177,104705,B,,42,42,False,0.0,20.0,47.61904761904761,4,,,,,,,,,,,,,,
CHEMBL640540,104680,B,,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
CHEMBL641150,104680,B,,62,62,False,0.0,62.0,100.0,4,,,,,,,,,,,,,,
CHEMBL641156,104680,B,,52,52,False,0.0,51.0,98.07692307692308,4,,,,,,,,,,,,,,
CHEMBL641405,104680,B,,88,88,False,0.0,7.0,7.954545454545454,4,,,,,,,,,,,,,,
CHEMBL641537,104680,F,,51,51,False,0.0,48.0,94.11764705882356,4,,,,,,,,,,,,,,
CHEMBL641989,104729,B,Cavia porcellus,40,40,False,0.0,5.0,12.5,4,,,,,,,,,,,,,,
CHEMBL642094,104304,B,,63,63,False,0.0,30.0,47.61904761904761,4,,,,,,,,,,,,,,
CHEMBL642101,104304,B,,46,46,False,0.0,46.0,100.0,4,,,,,,,,,,,,,,
CHEMBL642334,104729,B,,38,38,False,0.0,19.0,50.0,4,,,,,,,,,,,,,,
CHEMBL642867,104304,B,,31,31,False,0.0,31.0,100.0,4,,,,,,,,,,,,,,
CHEMBL642904,104723,B,Oryctolagus cuniculus,40,40,False,0.0,35.0,87.5,4,,,,,,,,,,,,,,
CHEMBL642910,104693,F,,36,36,False,0.0,17.0,47.22222222222222,4,,,,,,,,,,,,,,
CHEMBL643181,104699,B,,47,47,False,0.0,46.0,97.87234042553192,4,,,,,,,,,,,,,,
CHEMBL643182,104699,B,,58,58,False,0.0,29.0,50.0,4,,,,,,,,,,,,,,
CHEMBL643446,104304,B,,43,43,False,0.0,43.0,100.0,4,,,,,,,,,,,,,,
CHEMBL643628,104304,B,,30,30,False,0.0,29.0,96.66666666666669,4,,,,,,,,,,,,,,
CHEMBL643679,104680,B,,33,33,False,0.0,32.0,96.96969696969695,4,,,,,,,,,,,,,,
CHEMBL643682,104680,B,,37,37,False,0.0,17.0,45.94594594594594,4,,,,,,,,,,,,,,
CHEMBL643713,104680,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
CHEMBL643729,104699,B,,41,41,False,0.0,39.0,95.1219512195122,4,,,,,,,,,,,,,,
CHEMBL644173,104687,B,,43,37,False,6.0,15.0,40.54054054054054,4,,,,,,,,,,,,,,
CHEMBL644174,104687,B,,34,34,False,0.0,33.0,97.05882352941175,4,,,,,,,,,,,,,,
CHEMBL644195,104825,B,,36,36,False,0.0,30.0,83.33333333333333,4,,,,,,,,,,,,,,
CHEMBL644566,104304,F,,39,39,False,0.0,39.0,100.0,4,,,,,,,,,,,,,,
CHEMBL644773,104699,B,,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
CHEMBL644959,104304,B,,39,39,False,0.0,34.0,87.1794871794872,4,,,,,,,,,,,,,,
CHEMBL645253,104728,B,Oryctolagus cuniculus,100,100,False,0.0,100.0,100.0,4,,,,,,,,,,,,,,
CHEMBL645291,104680,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
CHEMBL645326,104699,B,,44,44,False,0.0,41.0,93.1818181818182,4,,,,,,,,,,,,,,
CHEMBL645393,104304,B,,60,60,False,0.0,60.0,100.0,4,,,,,,,,,,,,,,
CHEMBL645451,104699,B,,39,39,False,0.0,19.0,48.71794871794872,4,,,,,,,,,,,,,,
CHEMBL645453,104699,B,,47,47,False,0.0,41.0,87.23404255319149,4,,,,,,,,,,,,,,
CHEMBL645561,104304,B,,45,45,False,0.0,45.0,100.0,4,,,,,,,,,,,,,,
CHEMBL645694,104304,B,,33,33,False,0.0,14.0,42.42424242424242,4,,,,,,,,,,,,,,
CHEMBL645698,104304,B,,34,34,False,0.0,34.0,100.0,4,,,,,,,,,,,,,,
CHEMBL646320,104699,B,,37,37,False,0.0,18.0,48.64864864864865,4,,,,,,,,,,,,,,
CHEMBL646321,104699,B,,33,33,False,0.0,16.0,48.48484848484848,4,,,,,,,,,,,,,,
CHEMBL646359,104699,B,,45,45,False,0.0,43.0,95.55555555555556,4,,,,,,,,,,,,,,
CHEMBL646483,104699,B,,44,44,False,0.0,22.0,50.0,4,,,,,,,,,,,,,,
CHEMBL646573,104304,B,,35,35,False,0.0,34.0,97.14285714285714,4,,,,,,,,,,,,,,
CHEMBL646574,104304,B,,33,33,False,0.0,29.0,87.87878787878788,4,,,,,,,,,,,,,,
